PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
5,7238,4372,508,173,173,0,1145,558805,204719,48564,0,0,625,172,320529,80583,86189,14681,161916,5962,238276,127650,1752,118530,0,295685,339,-9999999,21,7,11,24,36,36,299,307.1,1495,1534.1,299,5
5,2345,577,110,124,102,0,197,144852,54880,23331,0,0,149,101,69668,13586,27830,11175,47473,5306,75184,6949,208,27050,0,13850,26,-9999999,12,21,21,84,84,79,99,99.7,495,660.67,99,5
5,8645,851,355,170,166,0,272,109952,35639,8078,0,0,684,148,49428,11917,18271,4626,38646,1556,60524,41037,306,17368,0,72405,237,-9999999,22,15,15,29,29,20,225,173.57,1125,861.17,225,5
5,8075,22,16,85,15,0,14,20984,5470,3368,0,0,54,53,875,12,3021,3017,8401,726,13815,7878,3,140,0,9019,30,-9999999,1,6,6,13,13,9,167,189.9,797,956.1,167,5
5,11947,1292,215,172,171,0,381,151591,51296,14130,0,0,265,160,91696,25513,18870,6257,34221,1519,59895,33468,460,32426,0,90424,143,-9999999,41,1098,1098,2999,2999,2196,179,200,895,1001.9,181.48,5
5,13801,670,167,170,165,0,172,62418,26278,4015,0,0,204,140,36469,9287,8980,2290,17985,389,25949,15988,311,17298,0,42326,103,-9999999,3,5,5,9,9,9,0,99.7,0,497.9,0,5
105,18008,1566,288,171,170,0,471,200547,79601,20331,0,0,373,166,117235,23531,35242,8120,55165,1624,83312,41465,625,44359,0,105659,169,-9999999,9,14,17,35,44,29,19,43.84,95,448.28,19,105
132,8417,322,240,142,133,0,127,48924,16566,4999,0,0,282,54,28466,7628,6860,4285,13699,174,20458,11732,128,9706,45691,27321,120,-9999999,8,2,2,10,10,8,8,8.45,50.64,68.04,18,132
5,33388,3202,771,172,172,0,1319,470592,181441,28403,0,0,1180,172,157962,25061,125073,18314,227126,206,312630,129450,1216,56368,0,200055,443,-9999999,81,24,24,87,87,112,216,536.4,1006,2122.29,220,5
5,2366,960,142,171,169,0,305,151636,50156,21898,0,0,210,166,60502,13465,28563,12527,54540,1358,91134,45061,334,21593,0,75219,120,-9999999,7,15,15,28,28,30,0,183.42,0,920.9,0,5
